Image,Time,Latitude,Longitude,Season,City,Country
IMG_1992 2.png,2023-12-27 08:48:03,"38,21.7213N","0,24.5685W",Winter,Alicante,Spain
IMG_3723.png,2024-02-02 16:04:59,"47,35.9745N","7,36.786E",Winter,,Germany
IMG_6538 2.png,2024-04-21 11:41:53,"41,52.8152N","12,28.1758E",Spring,Rome,Italy
IMG_3865.png,2024-02-03 09:46:47,"47,33.3985N","7,35.315E",Winter,Basel,Switzerland
IMG_4111.png,2024-02-03 19:59:33,"47,31.9267N","7,37.7757E",Winter,,Switzerland
IMG_1976 2.png,2023-12-26 13:47:22,"38,22.146N","0,24.6272W",Winter,Alicante,Spain
IMG_3911.png,2024-02-03 11:54:30,"47,33.218N","7,33.7353E",Winter,Basel,Switzerland
IMG_3722.png,2024-02-02 16:04:20,"47,35.9555N","7,36.774E",Winter,,Germany
IMG_1856 2.png,2023-12-24 12:38:15,"38,21.5053N","0,24.8705W",Winter,Alicante,Spain
IMG_3867.png,2024-02-03 09:47:40,"47,33.3987N","7,35.3252E",Winter,Basel,Switzerland
IMG_3866.png,2024-02-03 09:47:36,"47,33.3975N","7,35.3288E",Winter,Basel,Switzerland
IMG_3709.png,2024-02-02 15:24:02,"47,33.6715N","7,35.4962E",Winter,Basel,Switzerland
IMG_4062.png,2024-02-03 16:34:30,"47,33.5368N","7,35.5825E",Winter,Basel,Switzerland
IMG_4088.png,2024-02-03 17:08:18,"47,33.368N","7,35.5065E",Winter,Basel,Switzerland
IMG_3849.png,2024-02-03 09:26:57,"47,33.5362N","7,35.2342E",Winter,Basel,Switzerland
IMG_1605 2.png,2023-12-09 20:54:47,"38,21.494N","0,24.875W",Winter,Alicante,Spain
IMG_4316.png,2024-02-04 16:37:43,"47,33.5377N","7,34.9005E",Winter,Basel,Switzerland
20230217_214428.png,2023-02-17 21:44:28,,,Winter,,
IMG_3754.png,2024-02-02 16:40:56,"47,36.0093N","7,36.905E",Winter,,Germany
IMG_3740.png,2024-02-02 16:22:51,"47,36.0015N","7,36.8892E",Winter,,Germany
IMG_4403.png,2024-02-05 05:30:45,"47,31.9132N","7,37.8013E",Winter,,Switzerland
IMG_4199.png,2024-02-04 12:47:03,"47,33.284N","7,35.3792E",Winter,Basel,Switzerland
IMG_3741.png,2024-02-02 16:23:31,"47,36.0027N","7,36.8847E",Winter,,Germany
IMG_3743.png,2024-02-02 16:26:43,"47,36.0028N","7,36.8868E",Winter,,Germany
IMG_3757.png,2024-02-02 16:49:22,"47,35.9995N","7,36.8843E",Winter,,Germany
IMG_3970.png,2024-02-03 16:06:25,"47,33.5873N","7,35.3488E",Winter,Basel,Switzerland
IMG_4206.png,2024-02-04 13:01:16,"47,33.2792N","7,35.2798E",Winter,Basel,Switzerland
IMG_6011 2.png,2024-04-20 10:47:13,"41,53.4658N","12,29.458E",Spring,Rome,Italy
IMG_3838.png,2024-02-03 09:16:34,"47,33.482N","7,35.2803E",Winter,Basel,Switzerland
IMG_4171.png,2024-02-04 10:13:08,"47,33.2765N","7,35.4077E",Winter,Basel,Switzerland
IMG_3742.png,2024-02-02 16:25:55,"47,36.001N","7,36.885E",Winter,,Germany
IMG_3746.png,2024-02-02 16:28:38,"47,36.0033N","7,36.9E",Winter,,Germany
5fa43359979b3.r_d.542-312-12397.png,,,,Winter,,
IMG_4174.png,2024-02-04 10:23:20,"47,33.2755N","7,35.4147E",Winter,Basel,Switzerland
IMG_4376.png,2024-02-04 17:51:35,"47,31.9185N","7,37.7695E",Winter,,Switzerland
IMG_3023.png,2023-07-01 16:13:13,"42,17.1908N","3,16.5787E",Summer,,Spain
images-2.png,,,,Winter,,
IMG_4176.png,2024-02-04 10:26:04,"47,33.2755N","7,35.4253E",Winter,Basel,Switzerland
IMG_1566 2.png,2023-12-08 16:42:07,"38,21.498N","0,24.8692W",Winter,Alicante,Spain
images-3.png,,,,Winter,,
IMG_3744.png,2024-02-02 16:28:11,"47,36.0082N","7,36.887E",Winter,,Germany
IMG_4344.png,2024-02-04 16:44:22,"47,33.5208N","7,34.9157E",Winter,Basel,Switzerland
IMG_3826.png,2024-02-03 07:27:56,"47,31.9272N","7,37.776E",Winter,,Switzerland
IMG_3832.png,2024-02-03 09:13:31,"47,33.4827N","7,35.2708E",Winter,Basel,Switzerland
IMG_3833.png,2024-02-03 09:14:13,"47,33.4773N","7,35.2743E",Winter,Basel,Switzerland
IMG_4231.png,2024-02-04 14:03:27,"47,33.2753N","7,35.2592E",Winter,Basel,Switzerland
IMG_3951.png,2024-02-03 14:49:08,"47,33.4635N","7,34.917E",Winter,Basel,Switzerland
IMG_3831.png,2024-02-03 09:13:18,"47,33.4835N","7,35.2668E",Winter,Basel,Switzerland
IMG_3825.png,2024-02-03 07:08:58,"47,31.927N","7,37.775E",Winter,,Switzerland
IMG_3824.png,2024-02-03 07:05:26,"47,31.9277N","7,37.7742E",Winter,,Switzerland
IMG_4385.png,2024-02-04 19:11:55,"47,31.9132N","7,37.8013E",Winter,,Switzerland
IMG_4226.png,2024-02-04 13:58:28,"47,33.2765N","7,35.2703E",Winter,Basel,Switzerland
IMG_3767.png,2024-02-02 17:25:21,"47,36.0358N","7,36.8995E",Winter,,Germany
IMG_3834.png,2024-02-03 09:14:56,"47,33.4722N","7,35.284E",Winter,Basel,Switzerland
IMG_4196.png,2024-02-04 12:19:45,"47,33.2783N","7,35.3858E",Winter,Basel,Switzerland
IMG_3835.png,2024-02-03 09:15:16,"47,33.4692N","7,35.2873E",Winter,Basel,Switzerland
IMG_2377 2.png,2024-01-03 15:52:26,"38,21.186N","0,24.819W",Winter,Alicante,Spain
IMG_4209.png,2024-02-04 13:13:34,"47,33.2805N","7,35.272E",Winter,Basel,Switzerland
IMG_2074 2.png,2023-12-30 08:41:36,"38,21.6632N","0,25.119W",Winter,Alicante,Spain
IMG_6286 2.png,2024-04-20 14:47:08,"41,53.9655N","12,28.6125E",Spring,Rome,Italy
IMG_6433 2.png,2024-04-20 19:48:11,"41,53.6705N","12,28.9385E",Spring,Rome,Italy
IMG_4157.png,2024-02-04 09:40:01,"47,33.2202N","7,35.4357E",Winter,Basel,Switzerland
CIUDADES-NAVIDAD-08.png,,,,Winter,,
IMG_3822.png,2024-02-02 21:58:20,"47,31.9278N","7,37.774E",Winter,,Switzerland
IMG_4383.png,2024-02-04 19:11:48,"47,31.9132N","7,37.8013E",Winter,,Switzerland
IMG_4208.png,2024-02-04 13:08:18,"47,33.2803N","7,35.2705E",Winter,Basel,Switzerland
IMG_3925.png,2024-02-03 12:42:43,"47,33.2207N","7,33.7295E",Winter,,Switzerland
IMG_3851.png,2024-02-03 09:27:16,"47,33.5055N","7,35.2297E",Winter,Basel,Switzerland
IMG_3850.png,2024-02-03 09:26:59,"47,33.4945N","7,35.2487E",Winter,Basel,Switzerland
IMG_4291.png,2024-02-04 16:16:37,"47,33.4882N","7,35.1933E",Winter,Basel,Switzerland
IMG_1511 2.png,2024-03-30 12:25:54,,,Spring,,
IMG_3918.png,2024-02-03 12:06:42,"47,33.2137N","7,33.7297E",Winter,,Switzerland
IMG_4091.png,2024-02-03 17:09:01,"47,33.3895N","7,35.4933E",Winter,Basel,Switzerland
IMG_6302 2.png,2024-04-20 15:37:29,"41,54.0678N","12,28.6365E",Spring,Rome,Italy
IMG_3853.png,2024-02-03 09:28:46,"47,33.4828N","7,35.2582E",Winter,Basel,Switzerland
IMG_3927.png,2024-02-03 12:43:03,"47,33.218N","7,33.7323E",Winter,,Switzerland
IMG_6516 2.png,2024-04-20 22:47:10,"41,53.4245N","12,28.1922E",Spring,Rome,Italy
IMG_3738.png,2024-02-02 16:17:32,"47,36.004N","7,36.8602E",Winter,,Germany
IMG_3923.png,2024-02-03 12:23:52,"47,33.2148N","7,33.7337E",Winter,,Switzerland
IMG_1839 2.png,2023-12-24 07:48:29,"38,21.7643N","0,25.3767W",Winter,Alicante,Spain
IMG_4321.png,2024-02-04 16:41:11,"47,33.5053N","7,34.8813E",Winter,Basel,Switzerland
IMG_3856.png,2024-02-03 09:31:44,"47,33.4865N","7,35.2625E",Winter,Basel,Switzerland
IMG_4320.png,2024-02-04 16:40:55,"47,33.4918N","7,34.8668E",Winter,Basel,Switzerland
IMG_3739.png,2024-02-02 16:21:22,"47,36.0017N","7,36.8853E",Winter,,Germany
IMG_6414 2.png,2024-04-20 16:42:22,"41,54.058N","12,29.0072E",Spring,Rome,Italy
IMG_3908.png,2024-02-03 11:52:34,"47,33.2152N","7,33.7472E",Winter,Basel,Switzerland
IMG_4097.png,2024-02-03 17:14:39,"47,33.526N","7,35.3533E",Winter,Basel,Switzerland
IMG_3115.png,2023-07-01 17:14:18,"42,17.1282N","3,17.0888E",Summer,,Spain
IMG_3897.png,2024-02-03 10:57:32,"47,33.311N","7,35.286E",Winter,Basel,Switzerland
IMG_3854.png,2024-02-03 09:29:03,"47,33.4857N","7,35.2592E",Winter,Basel,Switzerland
IMG_3855.png,2024-02-03 09:29:08,"47,33.4758N","7,35.3195E",Winter,Basel,Switzerland
